"(PDH-TSV 4.0) (Iran Standard Time)(-210)"	"\\SALAVATI-ADBF30\Memory\Cache Bytes"	"\\SALAVATI-ADBF30\Memory\Pool Paged Allocs"	"\\SALAVATI-ADBF30\Memory\System Driver Total Bytes"	"\\SALAVATI-ADBF30\System\Context Switches/sec"	"\\SALAVATI-ADBF30\Thread(_Total/_Total)\Context Switches/sec"
"12/11/2009 13:37:32.338"	"71815168"	"75389"	"3018752"	"6137.5715854646824"	"6142.5744967668215"
"12/11/2009 13:37:33.338"	"71852032"	"75618"	"3018752"	"5337.9365227945173"	"5333.884958071334"
"12/11/2009 13:37:34.338"	"71364608"	"75441"	"3018752"	"5288.7077212855884"	"5287.7106044452257"
"12/11/2009 13:37:35.338"	"71385088"	"75568"	"3018752"	"3755.9654123558271"	"3754.9741309062742"
"12/11/2009 13:37:36.338"	"71413760"	"75705"	"3018752"	"4502.2035856309221"	"4278.0023303572416"
"12/11/2009 13:37:37.338"	"71446528"	"75450"	"3018752"	"3822.0863690910041"	"3817.0927887812431"
"12/11/2009 13:37:38.338"	"71475200"	"75507"	"3018752"	"5274.409059218222"	"5279.391497399989"
"12/11/2009 13:37:39.338"	"71086080"	"75655"	"3018752"	"15508.577221687197"	"15525.589921743252"
"12/11/2009 13:37:40.338"	"71036928"	"75513"	"3018752"	"7408.138860027826"	"7379.3366041033314"
"12/11/2009 13:37:41.338"	"71069696"	"75559"	"3018752"	"6491.0742244199546"	"6487.0531160263226"
"12/11/2009 13:37:42.338"	"71086080"	"75754"	"3018752"	"9528.7727726091289"	"9525.7677985401897"
"12/11/2009 13:37:43.338"	"71122944"	"75707"	"3018752"	"6787.9773489547861"	"6787.9773489547861"
"12/11/2009 13:37:44.354"	"71442432"	"75715"	"3018752"	"5979.1343815520877"	"5983.1151634306179"
"12/11/2009 13:37:45.354"	"71532544"	"75853"	"3018752"	"5757.2303249569386"	"5752.2927346267861"
"12/11/2009 13:37:46.354"	"71348224"	"75648"	"3018752"	"8670.31942429626"	"8665.2914032893605"
"12/11/2009 13:37:47.354"	"71385088"	"75810"	"3018752"	"5843.1029923936576"	"5843.1029923936576"
"12/11/2009 13:37:48.354"	"71413760"	"75793"	"3018752"	"11174.077441537442"	"11186.133630109502"
"12/11/2009 13:37:49.354"	"71622656"	"75868"	"3018752"	"6403.3005415804746"	"6389.2450057413207"
"12/11/2009 13:37:50.354"	"71577600"	"75840"	"3018752"	"5709.2757050743103"	"5706.3026401350253"
"12/11/2009 13:37:51.354"	"71589888"	"75671"	"3018752"	"6706.4225183075851"	"6704.4025115249615"
"12/11/2009 13:37:52.354"	"71671808"	"75684"	"3018752"	"5617.6711639505347"	"5610.6827690424743"
"12/11/2009 13:37:53.354"	"71659520"	"75850"	"3018752"	"5856.4017519548943"	"5848.486358473624"
"12/11/2009 13:37:54.354"	"71675904"	"75725"	"3018752"	"6004.4398056546788"	"6002.4119637750255"
"12/11/2009 13:37:55.354"	"71766016"	"75646"	"3018752"	"5639.2563662848315"	"5644.2082949521"
"12/11/2009 13:37:56.369"	"71720960"	"75752"	"3018752"	"5413.899306991917"	"5420.865721541355"
"12/11/2009 13:37:57.369"	"71999488"	"75851"	"3018752"	"5654.1154221389188"	"5642.2307864644281"
"12/11/2009 13:37:58.369"	"71921664"	"75852"	"3018752"	"5501.8020074469423"	"5496.7821151043809"
"12/11/2009 13:37:59.369"	"72601600"	"75698"	"3018752"	"5252.9556990379169"	"5254.9656304322307"
"12/11/2009 13:38:00.369"	"72372224"	"75830"	"3018752"	"5840.430900655283"	"5838.4443595326111"
"12/11/2009 13:38:01.369"	"71340032"	"75694"	"3018752"	"7009.9310331569932"	"7004.9601559529392"
"12/11/2009 13:38:02.369"	"71397376"	"75848"	"3018752"	"5676.1694461045827"	"5676.1694461045827"
"12/11/2009 13:38:03.369"	"71536640"	"75858"	"3018752"	"5345.7110516516977"	"5345.7110516516977"
"12/11/2009 13:38:04.369"	"71532544"	"75831"	"3018752"	"4844.2971940807947"	"4843.2925700256137"
"12/11/2009 13:38:05.369"	"71544832"	"75827"	"3018752"	"4709.8040888867363"	"4709.8040888867363"
"12/11/2009 13:38:06.369"	"71561216"	"75863"	"3018752"	"5294.5367383837774"	"5294.5367383837774"
"12/11/2009 13:38:07.369"	"71577600"	"75773"	"3018752"	"5214.2843840164633"	"5214.2843840164633"
"12/11/2009 13:38:08.369"	"71606272"	"75802"	"3018752"	"4712.6538193318038"	"4728.7174028659556"
"12/11/2009 13:38:09.369"	"71622656"	"75680"	"3018752"	"4711.4316056014577"	"4694.4804231051139"
"12/11/2009 13:38:10.369"	"71655424"	"75714"	"3018752"	"4793.0127541121328"	"4793.0127541121328"
"12/11/2009 13:38:11.369"	"71667712"	"75748"	"3018752"	"4935.7749870447642"	"3532.1514248217004"
"12/11/2009 13:38:12.369"	"71696384"	"75719"	"3018752"	"4776.9195716386985"	"4779.9138797696878"
"12/11/2009 13:38:13.369"	"71708672"	"75577"	"3018752"	"4581.0192453874115"	"4583.0350954403875"
"12/11/2009 13:38:14.369"	"71745536"	"75587"	"3018752"	"4855.2304372214621"	"4824.2289658406462"
"12/11/2009 13:38:15.369"	"71770112"	"75649"	"3018752"	"4834.3702570767437"	"4864.2550927891489"
"12/11/2009 13:38:16.369"	"71806976"	"75634"	"3018752"	"4826.9697025551868"	"4797.0071345691213"
"12/11/2009 13:38:17.369"	"71852032"	"75494"	"3018752"	"4653.8302458032822"	"4653.8302458032822"
"12/11/2009 13:38:18.369"	"71856128"	"75502"	"3018752"	"4803.6951558721776"	"4803.6951558721776"
"12/11/2009 13:38:19.369"	"71888896"	"75521"	"3018752"	"4899.7522193944342"	"4897.758423984711"
"12/11/2009 13:38:20.369"	"71892992"	"75504"	"3018752"	"4755.5331244168256"	"4758.5698633213069"
"12/11/2009 13:38:21.369"	"71970816"	"75747"	"3018752"	"4628.215899115582"	"4625.2478256445802"
"12/11/2009 13:38:22.369"	"71987200"	"75734"	"3018752"	"4632.4549852513001"	"4632.4549852513001"
"12/11/2009 13:38:23.369"	"71553024"	"75791"	"3018752"	"4956.6421296258186"	"4959.6718619788908"
"12/11/2009 13:38:24.369"	"71585792"	"75786"	"3018752"	"4758.6819122319885"	"4754.6830198687676"
"12/11/2009 13:38:25.369"	"71553024"	"75762"	"3018752"	"4626.7447178098637"	"4626.7447178098637"
"12/11/2009 13:38:26.369"	"71573504"	"75761"	"3018752"	"4652.8634775494947"	"4655.8724429370031"
"12/11/2009 13:38:27.369"	"71639040"	"75757"	"3018752"	"4956.218792875512"	"4953.2486258002764"
"12/11/2009 13:38:28.369"	"71675904"	"75771"	"3018752"	"4902.2078386579878"	"3117.3065400553351"
"12/11/2009 13:38:29.369"	"71667712"	"75678"	"3018752"	"4532.42385159067"	"4531.4193250278167"
"12/11/2009 13:38:30.369"	"71704576"	"75715"	"3018752"	"4857.3505906107366"	"4856.3540065749121"
"12/11/2009 13:38:31.369"	"71716864"	"75695"	"3018752"	"5104.2970510721589"	"5107.2884343800733"
"12/11/2009 13:38:32.369"	"71749632"	"75701"	"3018752"	"4751.2694159158154"	"4751.2694159158154"
"12/11/2009 13:38:33.369"	"71745536"	"75623"	"3018752"	"4430.7810900963896"	"4390.7920910882995"
"12/11/2009 13:38:34.369"	"71786496"	"75671"	"3018752"	"4795.1324281350662"	"4796.1318304752358"
"12/11/2009 13:38:35.369"	"71766016"	"75666"	"3018752"	"5040.866937968296"	"5036.8977514029666"
"12/11/2009 13:38:36.369"	"71806976"	"75687"	"3018752"	"4890.3386154933796"	"4893.324170203693"
"12/11/2009 13:38:37.369"	"71761920"	"75587"	"3018752"	"4365.6715719360909"	"4365.6715719360909"
